raw_api_name,canonical_name,file_name,status,notes,selected_for_run,run_phase,stage,test_file_exists,final_status,pytest_outcome,failure_category,root_cause_summary,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,rerun_status,changed_files,fix_artifact,report_path,last_updated_utc
torch.nn.Module.buffers,torch.nn.Module.buffers,test_nn_Module_buffers.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_buffers.py""]",runs/20260323T041305Z/fixes/test_nn_Module_buffers.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.modules,torch.nn.Module.modules,test_nn_Module_modules.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_modules.py""]",runs/20260323T041305Z/fixes/test_nn_Module_modules.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.named_modules,torch.nn.Module.named_modules,test_nn_Module_named_modules.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_named_modules.py""]",runs/20260323T041305Z/fixes/test_nn_Module_named_modules.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.named_parameters,torch.nn.Module.named_parameters,test_nn_Module_named_parameters.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_named_parameters.py""]",runs/20260323T041305Z/fixes/test_nn_Module_named_parameters.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.register_forward_hook,torch.nn.Module.register_forward_hook,test_nn_Module_register_forward_hook.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_register_forward_hook.py""]",runs/20260323T041305Z/fixes/test_nn_Module_register_forward_hook.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.register_forward_pre_hook,torch.nn.Module.register_forward_pre_hook,test_nn_Module_register_forward_pre_hook.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_register_forward_pre_hook.py""]",runs/20260323T041305Z/fixes/test_nn_Module_register_forward_pre_hook.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.register_load_state_dict_post_hook,torch.nn.Module.register_load_state_dict_post_hook,test_nn_Module_register_load_state_dict_post_hook.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_nn_Module_register_load_state_dict_post_hook.py""]",runs/20260323T041305Z/fixes/test_nn_Module_register_load_state_dict_post_hook.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.utils._pytree.tree_flatten,torch.utils._pytree.tree_flatten,test_utils__pytree_tree_flatten.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.utils._pytree.tree_map,torch.utils._pytree.tree_map,test_utils__pytree_tree_map.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.utils._pytree.tree_unflatten,torch.utils._pytree.tree_unflatten,test_utils__pytree_tree_unflatten.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
